,latent_1_modes0_128_None_gaussianindep,latent_2_modes0_128_None_gaussianindep,latent_3_modes0_128_None_gaussianindep,latent_4_modes0_128_None_gaussianindep,latent_5_modes0_128_None_gaussianindep
model_spec,"{'first_layer': 128, 'latent_dim': 1, 'num_modes': 0, 'second_layer': None, 'third_layer': None}","{'first_layer': 128, 'latent_dim': 2, 'num_modes': 0, 'second_layer': None, 'third_layer': None}","{'first_layer': 128, 'latent_dim': 3, 'num_modes': 0, 'second_layer': None, 'third_layer': None}","{'first_layer': 128, 'latent_dim': 4, 'num_modes': 0, 'second_layer': None, 'third_layer': None}","{'first_layer': 128, 'latent_dim': 5, 'num_modes': 0, 'second_layer': None, 'third_layer': None}"
loss,0.005062436832530934,0.002004222605107592,0.001610121451142273,0.0014686636525849818,0.0013536946239615056
