,latent_1_modes5_264_None_None,latent_2_modes5_264_None_None,latent_3_modes5_264_None_None,latent_4_modes5_264_None_None,latent_5_modes5_264_None_None
model_spec,"{'first_layer': 264, 'latent_dim': 1, 'num_modes': 5, 'second_layer': None, 'third_layer': None}","{'first_layer': 264, 'latent_dim': 2, 'num_modes': 5, 'second_layer': None, 'third_layer': None}","{'first_layer': 264, 'latent_dim': 3, 'num_modes': 5, 'second_layer': None, 'third_layer': None}","{'first_layer': 264, 'latent_dim': 4, 'num_modes': 5, 'second_layer': None, 'third_layer': None}","{'first_layer': 264, 'latent_dim': 5, 'num_modes': 5, 'second_layer': None, 'third_layer': None}"
loss,0.005840852450581615,0.0029700513713581795,0.001734962997067638,0.0015880174159021683,0.0013890655683261605
